StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,audio_q,anger1a,afraid1a,hopeful1a,proud1a,strong1a,knowledge1a,moral1a,inspiring1a,anger1b,afraid1b,hopeful1b,proud1b,strong1b,knowledge1b,moral1b,inspiring1b,angry3a,afraid3a,hopeful3a,proud3a,strong3a,knowledge3a,moral3a,inspiring3a,angry3b,afraid3b,hopeful3b,proud3b,strong3b,knowledge3b,moral3b,inspiring3b,angry4a,afraid4a,hopeful4a,proud4a,strong4a,knowledge4a,moral4a,inspiring4a,angry4b,afraid4b,hopeful4b,proud4b,strong4b,knowledge4b,moral4b,inspiring4b,angry5a,afraid5a,hopeful5a,proud5a,strong5a,knowledge5a,moral5a,inspiring5a,angry5b,afraid5b,hopeful5b,proud5b,strong5b,knowledge5b,moral5b,inspiring5b,angry6a,afraid6a,hopeful6a,proud6a,strong6a,knowledge6a,moral6a,inspiring6a,angry6b,afraid6b,hopeful6b,proud6b,strong6b,knowledge6b,moral6b,inspiring6b,angry7a,afraid7a,hopeful7a,proud7a,strong7a,knowledge7a,moral7a,inspiring7a,angry7b,afraid7b,hopeful7b,proud7b,strong7b,knowledge7b,moral7b,inspiring7b,angry8a,afraid8a,hopeful8a,proud8a,strong8a,knowledge8a,moral8a,inspiring8a,angry8b,afraid8b,hopeful8b,proud8b,strong8b,knowledge8b,moral8b,inspiring8b,angry9a,afraid9a,hopeful9a,proud9a,strong9a,knowledge9a,moral9a,inspiring9a,angry9b,afraid9b,hopeful9b,proud9b,strong9b,knowledge9b,moral9b,inspiring9b,angry10a,afraid10a,hopeful10a,proud10a,strong10a,knowledge10a,moral10a,inspiring10a,angry10b,afraid10b,hopeful10b,proud10b,strong10b,knowledge10b,moral10b,inspiring10b,confused_text,comments_text,mturk_code,rand_1_assignment,rand_2_assignment,rand_3_assignment,rand_4_assignment,rand_5_assignment,rand_6_assignment,rand_7_assignment,rand_8_assignment,rand_9_assignment,rand_10_assignment
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"As noted in the description of the HIT, this task requires sound. Confirm that you are able to listen to audio by selecting the transcript that corresponds with the following audio recording.


 Your browser does not support the audio element.",Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Were you at any point confused during this survey?,Do you have any comments or suggestions for us about this survey?,mturk_code,rand_1_assignment,rand_2_assignment,rand_3_assignment,rand_4_assignment,rand_5_assignment,rand_6_assignment,rand_7_assignment,rand_8_assignment,rand_9_assignment,rand_10_assignment
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID18""}","{""ImportId"":""QID22""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID373""}","{""ImportId"":""QID374""}","{""ImportId"":""QID375""}","{""ImportId"":""QID376""}","{""ImportId"":""QID377""}","{""ImportId"":""QID378""}","{""ImportId"":""QID379""}","{""ImportId"":""QID380""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID395""}","{""ImportId"":""QID396""}","{""ImportId"":""QID397""}","{""ImportId"":""QID398""}","{""ImportId"":""QID399""}","{""ImportId"":""QID400""}","{""ImportId"":""QID401""}","{""ImportId"":""QID402""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID406""}","{""ImportId"":""QID407""}","{""ImportId"":""QID408""}","{""ImportId"":""QID409""}","{""ImportId"":""QID410""}","{""ImportId"":""QID411""}","{""ImportId"":""QID412""}","{""ImportId"":""QID413""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID417""}","{""ImportId"":""QID418""}","{""ImportId"":""QID419""}","{""ImportId"":""QID420""}","{""ImportId"":""QID421""}","{""ImportId"":""QID422""}","{""ImportId"":""QID423""}","{""ImportId"":""QID424""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID428""}","{""ImportId"":""QID429""}","{""ImportId"":""QID430""}","{""ImportId"":""QID431""}","{""ImportId"":""QID432""}","{""ImportId"":""QID433""}","{""ImportId"":""QID434""}","{""ImportId"":""QID435""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID439""}","{""ImportId"":""QID440""}","{""ImportId"":""QID441""}","{""ImportId"":""QID442""}","{""ImportId"":""QID443""}","{""ImportId"":""QID444""}","{""ImportId"":""QID445""}","{""ImportId"":""QID446""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID450""}","{""ImportId"":""QID451""}","{""ImportId"":""QID452""}","{""ImportId"":""QID453""}","{""ImportId"":""QID454""}","{""ImportId"":""QID455""}","{""ImportId"":""QID456""}","{""ImportId"":""QID457""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID461""}","{""ImportId"":""QID462""}","{""ImportId"":""QID463""}","{""ImportId"":""QID464""}","{""ImportId"":""QID465""}","{""ImportId"":""QID466""}","{""ImportId"":""QID467""}","{""ImportId"":""QID468""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID472""}","{""ImportId"":""QID473""}","{""ImportId"":""QID474""}","{""ImportId"":""QID475""}","{""ImportId"":""QID476""}","{""ImportId"":""QID477""}","{""ImportId"":""QID478""}","{""ImportId"":""QID479""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""mturk_code""}","{""ImportId"":""rand_1_assignment""}","{""ImportId"":""rand_2_assignment""}","{""ImportId"":""rand_3_assignment""}","{""ImportId"":""rand_4_assignment""}","{""ImportId"":""rand_5_assignment""}","{""ImportId"":""rand_6_assignment""}","{""ImportId"":""rand_7_assignment""}","{""ImportId"":""rand_8_assignment""}","{""ImportId"":""rand_9_assignment""}","{""ImportId"":""rand_10_assignment""}"
2019-09-21 23:09:49,2019-09-21 23:15:11,IP Address,68.98.33.180,100,322,True,2019-09-21 23:15:12,R_3hAsknsY4pYsLMa,,,,,33.3321990966796875,-111.99420166015625,anonymous,EN,"""Because we happen to believe that America faces big challenges, we recognize this is a year with a big choice, and the Americans want to see big changes, and I'm gonna bring it to this country.""",Statement A,Statement A,Statement B,Statement B,Statement A,Statement A,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement A,Statement A,Statement B,Statement B,Statement A,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement A,Statement B,Statement A,Statement A,,,,,,,,,Statement B,Statement A,Statement A,Statement A,Statement B,Statement B,Statement A,Statement A,,,,,,,,,Statement A,Statement B,Statement A,Statement A,Statement A,Statement B,Statement B,Statement B,Statement A,Statement B,Statement A,Statement A,Statement A,Statement B,Statement B,Statement A,,,,,,,,,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement B,Statement A,Statement A,Statement A,,,,,,,,,Statement A,Statement B,Statement B,Statement A,Statement A,Statement A,Statement B,Statement A,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement A,Statement B,Statement A,Statement B,,,256971,1,3,3,2,2,3,1,1,2,1
2019-09-21 23:10:00,2019-09-21 23:15:38,IP Address,73.67.145.121,100,337,True,2019-09-21 23:15:38,R_3M3Uz2IEs2hhJBY,,,,,45.412506103515625,-122.72409820556640625,anonymous,EN,"""Because we happen to believe that America faces big challenges, we recognize this is a year with a big choice, and the Americans want to see big changes, and I'm gonna bring it to this country.""",,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement B,Statement A,Statement A,Statement A,Statement A,Statement B,Statement A,Statement A,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,no,no,766382,3,2,1,2,1,1,2,3,3,3
2019-09-21 23:15:14,2019-09-21 23:17:21,IP Address,24.146.131.48,100,126,True,2019-09-21 23:17:21,R_27OUps138CtEsSV,,,,,40.947601318359375,-73.862396240234375,anonymous,EN,"""Because we happen to believe that America faces big challenges, we recognize this is a year with a big choice, and the Americans want to see big changes, and I'm gonna bring it to this country.""",Statement B,Statement A,Statement A,Statement B,Statement A,Statement B,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement A,Statement B,Statement A,Statement A,Statement A,Statement B,Statement B,Statement A,Statement A,Statement B,Statement B,Statement A,Statement A,Statement B,Statement A,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement B,Statement B,Statement A,Statement B,Statement B,Statement B,Statement A,,,,,,,,,Statement A,Statement B,Statement A,Statement B,Statement B,Statement B,Statement A,Statement A,Statement A,Statement B,Statement B,Statement A,Statement A,Statement A,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement B,Statement B,Statement A,Statement A,Statement B,Statement A,Statement B,Statement A,Statement B,Statement B,Statement B,Statement A,Statement B,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement A,Statement A,Statement A,Statement B,Statement A,No,None,167199,2,2,2,2,1,2,2,2,1,1
2019-09-21 23:10:40,2019-09-21 23:20:05,IP Address,47.36.107.6,100,564,True,2019-09-21 23:20:05,R_2xRHvHi6sZ8l5Gy,,,,,39.54730224609375,-119.79510498046875,anonymous,EN,"""Because we happen to believe that America faces big challenges, we recognize this is a year with a big choice, and the Americans want to see big changes, and I'm gonna bring it to this country.""",Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement A,Statement A,Statement B,Statement B,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement B,Statement A,Statement A,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement B,Statement A,Statement A,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement A,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement B,Statement A,Statement B,Statement B,Statement A,Statement B,Statement B,Statement B,,,,,,,,,No very clear,Thanks interesting political survey.,314033,3,2,3,2,2,1,1,2,3,3
2019-09-21 23:11:35,2019-09-21 23:21:08,IP Address,108.234.250.145,100,573,True,2019-09-21 23:21:09,R_2QFYNgLT1M04ous,,,,,36.3170013427734375,-119.3087005615234375,anonymous,EN,"""Because we happen to believe that America faces big challenges, we recognize this is a year with a big choice, and the Americans want to see big changes, and I'm gonna bring it to this country.""",,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,no,Thank You!,229025,2,1,1,3,2,2,2,3,3,1
2019-09-21 23:11:04,2019-09-21 23:22:16,IP Address,174.216.4.255,100,671,True,2019-09-21 23:22:16,R_1OrgZP3N0G9DzGx,,,,,47.539794921875,-122.3878021240234375,anonymous,EN,"""Because we happen to believe that America faces big challenges, we recognize this is a year with a big choice, and the Americans want to see big changes, and I'm gonna bring it to this country.""",Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,"No, just really, REALLY bored by Obama.",I thought you were going to do a mix of quotes from different leaders across the entire political spectrum.  Not an Obama love-fest.,414070,2,3,2,2,3,3,2,3,1,3
2019-09-21 23:17:27,2019-09-21 23:23:02,IP Address,68.8.163.160,100,335,True,2019-09-21 23:23:03,R_1q9RkzVQKdA4Ums,,,,,32.7404937744140625,-117.09349822998046875,anonymous,EN,"""Because we happen to believe that America faces big challenges, we recognize this is a year with a big choice, and the Americans want to see big changes, and I'm gonna bring it to this country.""",Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement B,Statement A,Statement A,Statement A,Statement B,Statement B,Statement A,Statement B,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement A,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement A,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement B,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,no,,212596,2,1,1,2,2,2,2,2,2,3
2019-09-21 23:18:04,2019-09-21 23:23:15,IP Address,73.240.35.132,100,311,True,2019-09-21 23:23:15,R_2P72VFkDjBn1jur,,,,,45.69110107421875,-122.58499908447265625,anonymous,EN,"""Because we happen to believe that America faces big challenges, we recognize this is a year with a big choice, and the Americans want to see big changes, and I'm gonna bring it to this country.""",,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,No,No,377084,2,3,2,3,1,2,1,2,3,3
