StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,audio_q,angry1a,afraid1a,hopeful1a,proud1a,strong1a,knowledge1a,moral1a,inspiring1a,angry1b,afraid1b,hopeful1b,proud1b,strong1b,knowledge1b,moral1b,inspiring1b,angry2a,afraid2a,hopeful2a,proud2a,strong2a,knowledge2a,moral2a,inspiring2a,angry2b,afraid2b,hopeful2b,proud2b,strong2b,knowledge2b,moral2b,inspiring2b,angry3a,afraid3a,hopeful3a,proud3a,strong3a,knowledge3a,moral3a,inspiring3a,angry3b,afraid3b,hopeful3b,proud3b,strong3b,knowledge3b,moral3b,inspiring3b,angry4a,afraid4a,hopeful4a,proud4a,strong4a,knowledge4a,moral4a,inspiring4a,angry4b,afraid4b,hopeful4b,proud4b,strong4b,knowledge4b,moral4b,inspiring4b,angry5a,afraid5a,hopeful5a,proud5a,strong5a,knowledge5a,moral5a,inspiring5a,angry5b,afraid5b,hopeful5b,proud5b,strong5b,knowledge5b,moral5b,inspiring5b,angry6a,afraid6a,hopeful6a,proud6a,strong6a,knowledge6a,moral6a,inspiring6a,angry6b,afraid6b,hopeful6b,proud6b,strong6b,knowledge6b,moral6b,inspiring6b,angry7a,afraid7a,hopeful7a,proud7a,strong7a,knowledge7a,moral7a,inspiring7a,angry7b,afraid7b,hopeful7b,proud7b,strong7b,knowledge7b,moral7b,inspiring7b,angry8a,afraid8a,hopeful8a,proud8a,strong8a,knowledge8a,moral8a,inspiring8a,angry8b,afraid8b,hopeful8b,proud8b,strong8b,knowledge8b,moral8b,inspiring8b,angry9a,afraid9a,hopeful9a,proud9a,strong9a,knowledge9a,moral9a,inspiring9a,angry9a,afraid9a,hopeful9a,proud9a,strong9a,knowledge9a,moral9a,inspiring9a,angry10,afraid10a,hopeful10a,proud10a,strong10a,knowledge10a,moral10a,inspiring10a,angry10b,afraid10b,hopeful10b,proud10b,strong10b,knowledge10b,moral10b,inspiring10b,confused_text,comments_text,mturk_code,rand_1_assignment,rand_2_assignment,rand_3_assignment,rand_4_assignment,rand_5_assignment,rand_6_assignment,rand_7_assignment,rand_8_assignment,rand_9_assignment,rand_10_assignment
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"As noted in the description of the HIT, this task requires sound. Confirm that you are able to listen to audio by selecting the transcript that corresponds with the following audio recording.


 Your browser does not support the audio element.",Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Which statement makes you feel more angry?,Which statement makes you feel more afraid?,Which statement makes you feel more hopefuly?,Which statement makes you feel more proud?,Which statement is more consistent with a statement made by a strong leader?,Which statement is more consistent with a statement made by a knowledgeable leader?,Which statement is more consistent with a statement made by a moral leader?,Which statement is more consistent with a statement made by an inspiring leader?,Were you at any point confused during this survey?,Do you have any comments or suggestions for us about this survey?,mturk_code,rand_1_assignment,rand_2_assignment,rand_3_assignment,rand_4_assignment,rand_5_assignment,rand_6_assignment,rand_7_assignment,rand_8_assignment,rand_9_assignment,rand_10_assignment
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID18""}","{""ImportId"":""QID22""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID373""}","{""ImportId"":""QID374""}","{""ImportId"":""QID375""}","{""ImportId"":""QID376""}","{""ImportId"":""QID377""}","{""ImportId"":""QID378""}","{""ImportId"":""QID379""}","{""ImportId"":""QID380""}","{""ImportId"":""QID483""}","{""ImportId"":""QID484""}","{""ImportId"":""QID485""}","{""ImportId"":""QID486""}","{""ImportId"":""QID487""}","{""ImportId"":""QID488""}","{""ImportId"":""QID489""}","{""ImportId"":""QID490""}","{""ImportId"":""QID494""}","{""ImportId"":""QID495""}","{""ImportId"":""QID496""}","{""ImportId"":""QID497""}","{""ImportId"":""QID498""}","{""ImportId"":""QID499""}","{""ImportId"":""QID500""}","{""ImportId"":""QID501""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID395""}","{""ImportId"":""QID396""}","{""ImportId"":""QID397""}","{""ImportId"":""QID398""}","{""ImportId"":""QID399""}","{""ImportId"":""QID400""}","{""ImportId"":""QID401""}","{""ImportId"":""QID402""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID406""}","{""ImportId"":""QID407""}","{""ImportId"":""QID408""}","{""ImportId"":""QID409""}","{""ImportId"":""QID410""}","{""ImportId"":""QID411""}","{""ImportId"":""QID412""}","{""ImportId"":""QID413""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID417""}","{""ImportId"":""QID418""}","{""ImportId"":""QID419""}","{""ImportId"":""QID420""}","{""ImportId"":""QID421""}","{""ImportId"":""QID422""}","{""ImportId"":""QID423""}","{""ImportId"":""QID424""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID428""}","{""ImportId"":""QID429""}","{""ImportId"":""QID430""}","{""ImportId"":""QID431""}","{""ImportId"":""QID432""}","{""ImportId"":""QID433""}","{""ImportId"":""QID434""}","{""ImportId"":""QID435""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID439""}","{""ImportId"":""QID440""}","{""ImportId"":""QID441""}","{""ImportId"":""QID442""}","{""ImportId"":""QID443""}","{""ImportId"":""QID444""}","{""ImportId"":""QID445""}","{""ImportId"":""QID446""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID450""}","{""ImportId"":""QID451""}","{""ImportId"":""QID452""}","{""ImportId"":""QID453""}","{""ImportId"":""QID454""}","{""ImportId"":""QID455""}","{""ImportId"":""QID456""}","{""ImportId"":""QID457""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID461""}","{""ImportId"":""QID462""}","{""ImportId"":""QID463""}","{""ImportId"":""QID464""}","{""ImportId"":""QID465""}","{""ImportId"":""QID466""}","{""ImportId"":""QID467""}","{""ImportId"":""QID468""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID472""}","{""ImportId"":""QID473""}","{""ImportId"":""QID474""}","{""ImportId"":""QID475""}","{""ImportId"":""QID476""}","{""ImportId"":""QID477""}","{""ImportId"":""QID478""}","{""ImportId"":""QID479""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""mturk_code""}","{""ImportId"":""rand_1_assignment""}","{""ImportId"":""rand_2_assignment""}","{""ImportId"":""rand_3_assignment""}","{""ImportId"":""rand_4_assignment""}","{""ImportId"":""rand_5_assignment""}","{""ImportId"":""rand_6_assignment""}","{""ImportId"":""rand_7_assignment""}","{""ImportId"":""rand_8_assignment""}","{""ImportId"":""rand_9_assignment""}","{""ImportId"":""rand_10_assignment""}"
2019-09-22 10:47:20,2019-09-22 10:52:53,IP Address,172.58.84.198,100,332,True,2019-09-22 10:52:53,R_1Iguq8Hlyr4aFUo,,,,,44.954803466796875,-93.15509796142578125,anonymous,EN,"""Because we happen to believe that America faces big challenges, we recognize this is a year with a big choice, and the Americans want to see big changes, and I'm gonna bring it to this country.""",Statement B,Statement B,Statement A,Statement A,Statement B,Statement A,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement A,Statement B,Statement B,Statement B,Statement A,Statement A,Statement B,Statement A,Statement A,Statement A,Statement B,Statement B,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement A,Statement B,Statement B,Statement B,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement A,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement A,Statement B,Statement B,Statement B,Statement A,Statement A,Statement B,Statement B,Statement A,Statement A,Statement B,Statement B,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement A,Statement B,Statement B,Statement B,no,no,274021,1,1,1,2,2,3,3,2,1,3
2019-09-22 10:46:47,2019-09-22 10:53:45,IP Address,98.157.147.51,100,417,True,2019-09-22 10:53:46,R_2wdmdbwP4ZJm3LY,,,,,36.936492919921875,-84.0901031494140625,anonymous,EN,"""Because we happen to believe that America faces big challenges, we recognize this is a year with a big choice, and the Americans want to see big changes, and I'm gonna bring it to this country.""",Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,No,Thank you for the survey,866945,3,2,2,1,1,3,3,2,1,2
2019-09-22 10:48:20,2019-09-22 10:54:01,IP Address,97.81.164.197,100,340,True,2019-09-22 10:54:02,R_e2iSEyPv3RbGJrz,,,,,36.1732025146484375,-85.4535980224609375,anonymous,EN,"""Because we happen to believe that America faces big challenges, we recognize this is a year with a big choice, and the Americans want to see big changes, and I'm gonna bring it to this country.""",Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement A,Statement B,Statement B,Statement B,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,no,no,740580,1,1,2,2,2,2,2,1,1,1
2019-09-22 10:46:55,2019-09-22 10:55:20,IP Address,68.9.19.123,100,504,True,2019-09-22 10:55:21,R_2bVPki3g2oJD7p5,,,,,41.908905029296875,-71.4347991943359375,anonymous,EN,"""Because we happen to believe that America faces big challenges, we recognize this is a year with a big choice, and the Americans want to see big changes, and I'm gonna bring it to this country.""",Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,No,,324430,2,1,2,3,2,3,1,3,3,2
2019-09-22 10:46:45,2019-09-22 10:55:34,IP Address,104.218.65.41,100,528,True,2019-09-22 10:55:35,R_3oL94EQpexQdDzu,,,,,40.75970458984375,-96.65419769287109375,anonymous,EN,"""Because we happen to believe that America faces big challenges, we recognize this is a year with a big choice, and the Americans want to see big changes, and I'm gonna bring it to this country.""",,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement B,Statement A,Statement A,Statement B,Statement B,Statement A,Statement A,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement A,Statement B,Statement B,Statement B,Statement B,Statement A,Statement B,Statement B,Statement A,Statement B,Statement B,Statement A,Statement B,Statement A,Statement B,Statement A,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,"No, I was not confused at any point in the survey.",Have a nice day!,899161,3,1,3,1,2,2,1,1,1,3
2019-09-22 10:47:16,2019-09-22 10:56:01,IP Address,209.159.202.223,100,524,True,2019-09-22 10:56:01,R_307g56md2Rw0mga,,,,,44.1414947509765625,-103.2052001953125,anonymous,EN,"""Because we happen to believe that America faces big challenges, we recognize this is a year with a big choice, and the Americans want to see big changes, and I'm gonna bring it to this country.""",,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement A,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement B,Statement B,Statement A,Statement A,Statement A,Statement B,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,No,Thank you.,185783,1,2,1,3,3,3,2,2,1,1
2019-09-22 10:48:37,2019-09-22 10:56:21,IP Address,104.152.233.134,100,464,True,2019-09-22 10:56:22,R_6tKo6hrM4E4hiut,,,,,34.0498046875,-117.4705963134765625,anonymous,EN,"""Because we happen to believe that America faces big challenges, we recognize this is a year with a big choice, and the Americans want to see big changes, and I'm gonna bring it to this country.""",,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement A,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,200145,2,3,2,2,1,2,3,2,1,3
2019-09-22 10:46:43,2019-09-22 10:56:55,IP Address,66.44.33.169,100,611,True,2019-09-22 10:56:55,R_2tG308yOkjxL6PG,,,,,38.9391937255859375,-77.05840301513671875,anonymous,EN,"""Because we happen to believe that America faces big challenges, we recognize this is a year with a big choice, and the Americans want to see big changes, and I'm gonna bring it to this country.""",Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,,,,,,,,,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,,,,,,,,,,,,,,,,,Statement A,Statement A,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement B,Statement A,Statement A,Statement A,Statement A,Statement A,,,,,,,,,no,,378182,1,1,2,1,3,1,1,1,3,3
