"","ID","outcome","choice","vignette","treatment"
"1","256971","angry",TRUE,1,"1"
"3","167199","angry",FALSE,1,"2"
"4","314033","angry",FALSE,1,"3"
"6","414070","angry",FALSE,1,"2"
"7","212596","angry",FALSE,1,"2"
"9","549400","angry",FALSE,1,"3"
"11","902015","angry",FALSE,1,"3"
"12","118755","angry",FALSE,1,"3"
"13","211587","angry",TRUE,1,"3"
"15","799528","angry",FALSE,1,"2"
"16","687019","angry",FALSE,1,"1"
"17","972235","angry",TRUE,1,"3"
"18","452383","angry",FALSE,1,"2"
"19","317954","angry",FALSE,1,"1"
"22","724450","angry",FALSE,1,"1"
"23","488871","angry",FALSE,1,"1"
"24","997713","angry",FALSE,1,"1"
"25","845087","angry",FALSE,1,"1"
"29","368433","angry",FALSE,1,"1"
"34","357214","angry",TRUE,1,"2"
"36","234552","angry",TRUE,1,"1"
"40","928579","angry",FALSE,1,"2"
"42","938099","angry",FALSE,1,"2"
"44","950030","angry",TRUE,1,"1"
"47","794781","angry",FALSE,1,"2"
"49","667502","angry",FALSE,1,"3"
"50","183995","angry",FALSE,1,"3"
"52","773072","angry",FALSE,1,"3"
"53","320964","angry",FALSE,1,"3"
"58","175324","angry",FALSE,1,"3"
"59","359572","angry",FALSE,1,"2"
"60","550784","angry",TRUE,1,"2"
"66","376081","angry",FALSE,1,"2"
"68","609457","angry",FALSE,1,"2"
"69","524846","angry",FALSE,1,"1"
"70","102274","angry",FALSE,1,"1"
"73","716509","angry",FALSE,1,"3"
"74","819111","angry",FALSE,1,"3"
"76","534701","angry",FALSE,1,"1"
"77","849260","angry",FALSE,1,"3"
"79","345634","angry",FALSE,1,"2"
"80","846836","angry",FALSE,1,"1"
"82","647357","angry",FALSE,1,"2"
"83","205585","angry",TRUE,1,"2"
"87","372073","angry",TRUE,1,"3"
"89","143234","angry",FALSE,1,"3"
"91","235934","angry",FALSE,1,"2"
"93","938814","angry",FALSE,1,"2"
"94","248541","angry",FALSE,1,"3"
"95","785841","angry",TRUE,1,"1"
"97","822764","angry",FALSE,1,"2"
"99","278793","angry",TRUE,1,"1"
"100","622956","angry",FALSE,1,"3"
"102","487163","angry",FALSE,1,"1"
"103","954542","angry",FALSE,1,"2"
"104","525476","angry",TRUE,1,"3"
"107","639899","angry",TRUE,1,"2"
"108","135284","angry",FALSE,1,"2"
"109","665608","angry",FALSE,1,"1"
"110","701833","angry",FALSE,1,"3"
"111","722003","angry",FALSE,1,"2"
"113","483328","angry",FALSE,1,"3"
"117","685021","angry",FALSE,1,"3"
"119","841401","angry",FALSE,1,"1"
"123","266354","angry",FALSE,1,"2"
"124","991269","angry",FALSE,1,"2"
"125","195886","angry",TRUE,1,"3"
"126","570970","angry",FALSE,1,"2"
"127","808223","angry",FALSE,1,"1"
"131","734804","angry",FALSE,1,"2"
