speaker,date,vid.title,vid.url,vid.youtubeid,vid.id,id
Obama,2012-04-28,President Obama Remarks At The 2012 White House Correspondents Dinner - April 28 2012,http://electad.com/video/president-obama-remarks-at-the-2012-white-house-correspondents-dinner-april-28-2012/,6IoVSbjmTZs,ID_253,Obama_20120428_speech1
Obama,2012-06-22,"Barack Obama Addresses The National Association of Latin Elected Officials in Lake Buena Vista, Florida - June 22 2012",http://electad.com/video/barack-obama-addresses-the-national-association-of-latin-elected-officials-in-lake-buena-vista-florida-june-22-2012/,tc4axkovrOs,ID_193,Obama_20120622_speech1
Obama,2012-06-22,"Barack Obama Campaign Rally, Tampa, Florida - June 22 2012",http://electad.com/video/barack-obama-campaign-rally-tampa-florida-june-22-2012/,LbKKIi8WuUQ,ID_192,Obama_20120622_speech2
Obama,2012-06-28,President Obama Statement On Supreme Court ObamaCare Ruling - June 28 2012,http://electad.com/video/president-obama-statement-on-supreme-court-obamacare-ruling-june-28-2012/,QdKkPPAs910,ID_186,Obama_20120628_speech1
Obama,2012-09-06,"DNC Day 3: Barack Obama Nomination Acceptance Speech, Charlotte, North Carolina - September 6 2012",http://electad.com/video/dnc-day-3-barack-obama-nomination-acceptance-speech-charlotte-north-carolina-september-6-2012/,_PuFUeSmUS4,ID_93,Obama_20120906_speech1
Obama,2012-09-07,"Barack Obama & Joe Biden Campaign Rally in Portsmouth, New Hampshire - September 7 2012",http://electad.com/video/barack-obama-joe-biden-campaign-rally-in-portsmouth-new-hampshire-september-7-2012/,0JcP8llorcc,ID_91,Obama_20120907_speech1
Obama,2012-09-08,"Barack Obama Campaign Rally in Kissimmee, Florida - September 8 2012",http://electad.com/video/barack-obama-campaign-rally-in-kissimmee-florida-september-8-2012/,6AK7Y64pOjk,ID_87,Obama_20120908_speech1
Obama,2012-09-09,"Barack Obama Campaign Rally in Melbourne, Florida - September 9 2012",http://electad.com/video/barack-obama-campaign-rally-in-melbourne-florida-september-9-2012/,wPgpK17bKnE,ID_86,Obama_20120909_speech1
Obama,2012-09-09,"Barack Obama Campaign Rally in West Palm Beach, Florida - September 9 2012",http://electad.com/video/barack-obama-campaign-rally-in-west-palm-beach-florida-september-9-2012/,M_EsGinJe3A,ID_85,Obama_20120909_speech2
Obama,2012-09-11,President Obama Remarks At Pentagon 911 Memorial - September 11 2012,http://electad.com/video/president-obama-remarks-at-pentagon-911-memorial-september-11-2012-mp4/,AKVxx2j70uc,ID_83,Obama_20120911_speech1
